Force,Displacement,Design,Direction,Displacement Rate
6.44E-05,-0.000148773,A,X,0.1
-0.000354856,-0.00012207,A,X,0.1
0.004733354,-0.000354767,A,X,0.1
-0.001949459,-0.00037384,A,X,0.1
0.003854901,-0.000236511,A,X,0.1
-0.0031344,-0.000175476,A,X,0.1
0.003296167,-0.000833511,A,X,0.1
-0.007458299,0.000112534,A,X,0.1
0.007753342,-0.000217438,A,X,0.1
-0.006399602,-0.00021553,A,X,0.1
0.006645471,-0.000576019,A,X,0.1
-0.00925377,-0.000444412,A,X,0.1
0.00563857,-0.000780106,A,X,0.1
-0.001535982,-0.000679016,A,X,0.1
0.005452544,-0.000637054,A,X,0.1
-0.002151996,0.000383377,A,X,0.1
0.003914863,-0.001461029,A,X,0.1
-0.005553931,-0.000898361,A,X,0.1
0.001647621,0.00044632,A,X,0.1
-0.004095107,-0.001052856,A,X,0.1
0.005242735,-0.001857758,A,X,0.1
-0.0049887,0.000404358,A,X,0.1
0.002192825,-0.000101089,A,X,0.1
-0.00025925,-2.29E-05,A,X,0.1
0.012789339,0.000139236,A,X,0.1
0.002730399,-0.000392914,A,X,0.1
-0.001246125,-0.001182556,A,X,0.1
0.002593726,-0.000797272,A,X,0.1
-0.003202647,-0.00041008,A,X,0.1
-0.002437443,-0.000499725,A,X,0.1
0.001269311,-0.000106812,A,X,0.1
-0.001409084,-0.000417709,A,X,0.1
0.001589209,-0.000478745,A,X,0.1
-0.000954777,-0.000614166,A,X,0.1
0.006940812,-0.000778198,A,X,0.1
-0.015794426,-0.002140045,A,X,0.1
0.006402642,-0.000255585,A,X,0.1
0.004288107,0.000179291,A,X,0.1
-0.004260093,0.000421524,A,X,0.1
0.001564115,0.000333786,A,X,0.1
0.006795853,-0.00088501,A,X,0.1
0.003184706,-0.000408173,A,X,0.1
0.000404805,-0.000907898,A,X,0.1
0.004636675,0.0008564,A,X,0.1
0.002331406,-0.000888824,A,X,0.1
-0.005669206,-0.001914978,A,X,0.1
0.009358972,-0.001182556,A,X,0.1
-0.005780965,-0.000547409,A,X,0.1
0.000914305,-0.000875473,A,X,0.1
0.003902525,-0.00066185,A,X,0.1
-0.008415788,0.000102997,A,X,0.1
-0.000409573,-0.000225067,A,X,0.1
0.001553565,0.000598907,A,X,0.1
0.007238478,-0.000501633,A,X,0.1
-0.00443539,-0.000896454,A,X,0.1
-0.005077511,0.000293732,A,X,0.1
0.001110345,-0.000440598,A,X,0.1
-0.002878398,-0.001853943,A,X,0.1
-0.000168771,4.20E-05,A,X,0.1
5.99E-06,-3.43E-05,A,X,0.1
-7.11E-05,-0.000686646,A,X,0.1
0.003612369,-7.63E-06,A,X,0.1
0.001005441,-0.000436783,A,X,0.1
-0.005635828,7.44E-05,A,X,0.1
-0.004086524,-0.000188828,A,X,0.1
-0.003680021,-0.000896454,A,X,0.1
0.007313818,-0.00101471,A,X,0.1
0.000811547,-0.00012207,A,X,0.1
0.006246299,-0.001342773,A,X,0.1
-0.0039244,-0.000453949,A,X,0.1
-0.006552309,-0.000904083,A,X,0.1
0.010241121,-0.001037598,A,X,0.1
-0.002949208,-0.000320435,A,X,0.1
-0.00163886,-0.000551224,A,X,0.1
0.001933247,-0.000900269,A,X,0.1
0.006782621,-0.000621796,A,X,0.1
0.000839919,-0.001190186,A,X,0.1
0.002141684,-0.001422882,A,X,0.1
-0.001578659,-0.000301361,A,X,0.1
0.003585488,0.00043869,A,X,0.1
0.001292616,0.000699997,A,X,0.1
0.006960124,-0.002376556,A,X,0.1
-0.001880378,-0.000774384,A,X,0.1
-0.002874106,-0.000787735,A,X,0.1
-0.005440444,-0.000469208,A,X,0.1
0.002877146,-0.001010895,A,X,0.1
-0.004014581,-0.000411987,A,X,0.1
0.001641244,-0.001617432,A,X,0.1
-0.004657298,-0.000255585,A,X,0.1
0.015762597,0.000146866,A,X,0.1
0.003041118,-0.00179863,A,X,0.1
0.007423788,0.000192642,A,X,0.1
-0.003715843,-0.00163269,A,X,0.1
0.001337558,-0.001279831,A,X,0.1
-0.004188508,0.00035286,A,X,0.1
0.012012213,-0.000850677,A,X,0.1
-0.005101532,-0.000629425,A,X,0.1
0.005269438,-0.000144959,A,X,0.1
-0.010335416,-0.001317978,A,X,0.1
-0.000850946,-0.000562668,A,X,0.1
-0.002177566,0.000329971,A,X,0.1
0.002626151,-0.000431061,A,X,0.1
-0.005978495,-0.000492096,A,X,0.1
0.011255115,-0.000354767,A,X,0.1
-0.005948931,-0.001419067,A,X,0.1
0.001696736,0.001131058,A,X,0.1
-0.004316837,-0.000335693,A,X,0.1
0.002359182,-0.002010346,A,X,0.1
0.003484577,0.000259399,A,X,0.1
0.006192356,-0.000289917,A,X,0.1
-0.008581907,-0.000511169,A,X,0.1
-0.004498988,-0.000234604,A,X,0.1
-0.004212886,-0.001888275,A,X,0.1
0.007134885,0.000740051,A,X,0.1
-0.00444904,-0.001766205,A,X,0.1
0.002777904,-0.000648499,A,X,0.1
-0.000635237,1.53E-05,A,X,0.1
0.010815531,-0.000328064,A,X,0.1
-0.008327752,-0.001214981,A,X,0.1
0.005534262,-0.000804901,A,X,0.1
-0.009078533,-0.001113892,A,X,0.1
0.013930172,-0.000644684,A,X,0.1
-0.007091612,-0.0013237,A,X,0.1
0.008781344,-0.000404358,A,X,0.1
-0.008401543,0.000339508,A,X,0.1
0.002943009,-0.000736237,A,X,0.1
-0.013597578,-0.000537872,A,X,0.1
-0.000448197,-2.86E-05,A,X,0.1
-0.002566606,0.000209808,A,X,0.1
0.006038219,-0.001232147,A,X,0.1
-0.00499168,-5.91E-05,A,X,0.1
0.005615741,0.000530243,A,X,0.1
0.000479907,-0.000864029,A,X,0.1
0.006528646,-0.000343323,A,X,0.1
-0.014086574,-0.001213074,A,X,0.1
-0.000186235,-0.000616074,A,X,0.1
-0.008386582,-0.000635147,A,X,0.1
0.020476788,-0.000190735,A,X,0.1
-0.014741033,-0.00071907,A,X,0.1
0.009299666,0.000209808,A,X,0.1
-0.003007382,-0.000780106,A,X,0.1
0.004230887,-0.001401901,A,X,0.1
-0.007000476,0.000341415,A,X,0.1
-0.000272125,-0.000724792,A,X,0.1
-0.008098632,-0.000606537,A,X,0.1
0.007094353,-0.001537323,A,X,0.1
-0.001064032,-0.00141716,A,X,0.1
0.004001051,-0.000205994,A,X,0.1
-0.004306287,-0.000406265,A,X,0.1
0.002180547,-0.000379562,A,X,0.1
-0.003958434,-0.001029968,A,X,0.1
0.008231729,0.000930786,A,X,0.1
-0.011324555,-0.000675201,A,X,0.1
0.00339219,-0.001178742,A,X,0.1
-0.016518265,-0.00069809,A,X,0.1
0.015709013,-0.001142502,A,X,0.1
-0.012069017,2.67E-05,A,X,0.1
0.006084591,-5.72E-05,A,X,0.1
-0.002846628,0.000236511,A,X,0.1
0.002990812,-0.001205444,A,X,0.1
-0.013685495,-0.001319885,A,X,0.1
0.003564388,-0.00087738,A,X,0.1
-0.007345051,-0.00078392,A,X,0.1
0.013275713,-0.000541687,A,X,0.1
-0.0072532,-0.001934052,A,X,0.1
0.002240866,-0.000553131,A,X,0.1
-0.003436953,-0.00220108,A,X,0.1
0.008493871,-0.000675201,A,X,0.1
0.001387209,-0.00056839,A,X,0.1
0.007125706,-0.00037384,A,X,0.1
-0.009695143,-0.000278473,A,X,0.1
0.01232633,0.000852585,A,X,0.1
-0.017352015,-0.001182556,A,X,0.1
0.003595084,-0.001070023,A,X,0.1
-0.004740566,7.63E-06,A,X,0.1
0.00226,0.00030899,A,X,0.1
-0.008851022,-0.000837326,A,X,0.1
0.006931633,-0.001205444,A,X,0.1
-0.007197648,-0.000709534,A,X,0.1
0.009348422,-0.000442505,A,X,0.1
-0.01640144,0.000417709,A,X,0.1
0.005364567,-6.48E-05,A,X,0.1
-0.001806408,0.00101471,A,X,0.1
0.014591306,-0.001247406,A,X,0.1
-0.003512412,-9.54E-05,A,X,0.1
0.006085068,-0.000236511,A,X,0.1
-0.007035703,-0.000909805,A,X,0.1
0.008692354,-0.000297546,A,X,0.1
-0.005387873,0.000898361,A,X,0.1
0.011099488,-0.000843048,A,X,0.1
0.001846939,2.67E-05,A,X,0.1
-0.001420111,-0.001377106,A,X,0.1
-0.00466904,-0.000898361,A,X,0.1
0.008167952,-0.000717163,A,X,0.1
-0.010346502,0.00063324,A,X,0.1
0.013385087,-0.001033783,A,X,0.1
-0.010608464,-0.000995636,A,X,0.1
0.007056087,-0.001075745,A,X,0.1
-0.003333658,-8.58E-05,A,X,0.1
0.008203894,-0.001422882,A,X,0.1
-0.002680272,-0.000911713,A,X,0.1
0.000816494,-0.001153946,A,X,0.1
-0.002197295,-0.000497818,A,X,0.1
0.00639084,-0.001399994,A,X,0.1
-0.006413549,-0.000221252,A,X,0.1
0.00385496,0.00031662,A,X,0.1
-0.00060752,-0.000225067,A,X,0.1
0.007447153,-0.000537872,A,X,0.1
-0.007514626,-0.000509262,A,X,0.1
0.009330779,-0.00163269,A,X,0.1
-0.010238081,-0.001083374,A,X,0.1
-0.006286413,-0.000673294,A,X,0.1
-0.011197537,-0.000331879,A,X,0.1
0.007006258,-0.000591278,A,X,0.1
-0.002139717,-0.00018692,A,X,0.1
0.009380251,-0.000396729,A,X,0.1
-0.003069371,-0.000211716,A,X,0.1
0.001641244,-0.001068115,A,X,0.1
-0.000517756,-0.000385284,A,X,0.1
-0.001136571,-0.000343323,A,X,0.1
-0.004828721,-0.000946045,A,X,0.1
-6.11E-05,-9.73E-05,A,X,0.1
-0.001513749,0.000387192,A,X,0.1
0.00590238,-0.000925064,A,X,0.1
-0.008618444,0.000354767,A,X,0.1
0.000453144,-0.000133514,A,X,0.1
-0.003437907,0.000162125,A,X,0.1
0.004047424,-0.00128746,A,X,0.1
