#SCU1.ForceA.Engineering value [kN],SCU1.Encoder.Engineering value [mm],Design,Direction,Displacement Rate
6.44E-05,-0.00014877319,A,X,0.1
-0.00035485625,-0.00012207031,A,X,0.1
0.0047333539,-0.00035476685,A,X,0.1
-0.0019494593,-0.00037384033,A,X,0.1
0.0038549006,-0.00023651123,A,X,0.1
-0.0031343997,-0.00017547607,A,X,0.1
0.0032961667,-0.00083351135,A,X,0.1
-0.0074582994,0.00011253357,A,X,0.1
0.0077533424,-0.00021743774,A,X,0.1
-0.0063996017,-0.0002155304,A,X,0.1
0.0066454709,-0.00057601929,A,X,0.1
-0.0092537701,-0.00044441223,A,X,0.1
0.0056385696,-0.00078010559,A,X,0.1
-0.0015359819,-0.00067901611,A,X,0.1
0.0054525435,-0.00063705444,A,X,0.1
-0.0021519959,0.00038337708,A,X,0.1
0.0039148629,-0.0014610291,A,X,0.1
-0.005553931,-0.00089836121,A,X,0.1
0.0016476214,0.00044631958,A,X,0.1
-0.0040951073,-0.0010528564,A,X,0.1
0.0052427351,-0.0018577576,A,X,0.1
-0.0049887002,0.00040435791,A,X,0.1
0.0021928251,-0.00010108948,A,X,0.1
-0.0002592504,-2.29E-05,A,X,0.1
0.012789339,0.00013923645,A,X,0.1
0.0027303994,-0.00039291382,A,X,0.1
-0.0012461245,-0.0011825562,A,X,0.1
0.0025937259,-0.00079727173,A,X,0.1
-0.003202647,-0.00041007996,A,X,0.1
-0.0024374425,-0.00049972534,A,X,0.1
0.0012693107,-0.00010681152,A,X,0.1
-0.0014090836,-0.00041770935,A,X,0.1
0.0015892088,-0.00047874451,A,X,0.1
-0.000954777,-0.00061416626,A,X,0.1
0.0069408119,-0.00077819824,A,X,0.1
-0.015794426,-0.0021400452,A,X,0.1
0.0064026415,-0.00025558472,A,X,0.1
0.0042881072,0.00017929077,A,X,0.1
-0.004260093,0.00042152405,A,X,0.1
0.0015641153,0.00033378601,A,X,0.1
0.0067958534,-0.00088500977,A,X,0.1
0.003184706,-0.00040817261,A,X,0.1
0.00040480494,-0.00090789795,A,X,0.1
0.0046366751,0.00085639954,A,X,0.1
0.0023314059,-0.00088882446,A,X,0.1
-0.0056692064,-0.001914978,A,X,0.1
0.0093589723,-0.0011825562,A,X,0.1
-0.0057809651,-0.00054740906,A,X,0.1
0.00091430545,-0.00087547302,A,X,0.1
0.0039025247,-0.00066184998,A,X,0.1
-0.0084157884,0.00010299683,A,X,0.1
-0.00040957332,-0.00022506714,A,X,0.1
0.0015535653,0.00059890747,A,X,0.1
0.0072384775,-0.00050163269,A,X,0.1
-0.0044353902,-0.00089645386,A,X,0.1
-0.0050775111,0.00029373169,A,X,0.1
0.0011103451,-0.00044059753,A,X,0.1
