,Force,Displacement,Design,Direction,Displacement Rate
0,6.4402819e-05,-0.00014877319,A,X,0.1
1,-0.00035485625,-0.00012207031,A,X,0.1
2,0.0047333539,-0.00035476685,A,X,0.1
3,-0.0019494593,-0.00037384033,A,X,0.1
4,0.0038549006,-0.00023651123,A,X,0.1
5,-0.0031343997,-0.00017547607,A,X,0.1
6,0.0032961667,-0.00083351135,A,X,0.1
7,-0.0074582994,0.00011253357,A,X,0.1
8,0.0077533424,-0.00021743774,A,X,0.1
9,-0.0063996017,-0.0002155304,A,X,0.1
10,0.0066454709,-0.00057601929,A,X,0.1
11,-0.0092537701,-0.00044441223,A,X,0.1
12,0.0056385696,-0.00078010559,A,X,0.1
13,-0.0015359819,-0.00067901611,A,X,0.1
14,0.0054525435,-0.00063705444,A,X,0.1
15,-0.0021519959,0.00038337708,A,X,0.1
16,0.0039148629,-0.0014610291,A,X,0.1
17,-0.005553931,-0.00089836121,A,X,0.1
18,0.0016476214,0.00044631958,A,X,0.1
19,-0.0040951073,-0.0010528564,A,X,0.1
20,0.0052427351,-0.0018577576,A,X,0.1
21,-0.0049887002,0.00040435791,A,X,0.1
22,0.0021928251,-0.00010108948,A,X,0.1
23,-0.0002592504,-2.2888184e-05,A,X,0.1
24,0.012789339,0.00013923645,A,X,0.1
25,0.0027303994,-0.00039291382,A,X,0.1
26,-0.0012461245,-0.0011825562,A,X,0.1
27,0.0025937259,-0.00079727173,A,X,0.1
28,-0.003202647,-0.00041007996,A,X,0.1
29,-0.0024374425,-0.00049972534,A,X,0.1
30,0.0012693107,-0.00010681152,A,X,0.1
31,-0.0014090836,-0.00041770935,A,X,0.1
32,0.0015892088,-0.00047874451,A,X,0.1
33,-0.000954777,-0.00061416626,A,X,0.1
34,0.0069408119,-0.00077819824,A,X,0.1
35,-0.015794426,-0.0021400452,A,X,0.1
36,0.0064026415,-0.00025558472,A,X,0.1
37,0.0042881072,0.00017929077,A,X,0.1
38,-0.004260093,0.00042152405,A,X,0.1
39,0.0015641153,0.00033378601,A,X,0.1
40,0.0067958534,-0.00088500977,A,X,0.1
41,0.003184706,-0.00040817261,A,X,0.1
42,0.00040480494,-0.00090789795,A,X,0.1
43,0.0046366751,0.00085639954,A,X,0.1
44,0.0023314059,-0.00088882446,A,X,0.1
45,-0.0056692064,-0.001914978,A,X,0.1
46,0.0093589723,-0.0011825562,A,X,0.1
47,-0.0057809651,-0.00054740906,A,X,0.1
48,0.00091430545,-0.00087547302,A,X,0.1
49,0.0039025247,-0.00066184998,A,X,0.1
50,-0.0084157884,0.00010299683,A,X,0.1
51,-0.00040957332,-0.00022506714,A,X,0.1
52,0.0015535653,0.00059890747,A,X,0.1
53,0.0072384775,-0.00050163269,A,X,0.1
54,-0.0044353902,-0.00089645386,A,X,0.1
55,-0.0050775111,0.00029373169,A,X,0.1
56,0.0011103451,-0.00044059753,A,X,0.1
57,-0.0028783977,-0.0018539429,A,X,0.1
58,-0.00016877055,4.196167e-05,A,X,0.1
59,5.9902668e-06,-3.4332275e-05,A,X,0.1
60,-7.1138144e-05,-0.00068664551,A,X,0.1
61,0.0036123693,-7.6293945e-06,A,X,0.1
62,0.001005441,-0.00043678284,A,X,0.1
63,-0.0056358278,7.4386597e-05,A,X,0.1
64,-0.0040865242,-0.00018882751,A,X,0.1
65,-0.0036800206,-0.00089645386,A,X,0.1
66,0.0073138177,-0.0010147095,A,X,0.1
67,0.00081154704,-0.00012207031,A,X,0.1
68,0.0062462986,-0.0013427734,A,X,0.1
69,-0.0039243996,-0.00045394897,A,X,0.1
70,-0.0065523088,-0.00090408325,A,X,0.1
71,0.010241121,-0.0010375977,A,X,0.1
72,-0.002949208,-0.00032043457,A,X,0.1
73,-0.0016388595,-0.00055122375,A,X,0.1
74,0.0019332469,-0.00090026855,A,X,0.1
75,0.0067826211,-0.00062179565,A,X,0.1
76,0.00083991885,-0.0011901855,A,X,0.1
77,0.0021416843,-0.0014228821,A,X,0.1
78,-0.0015786588,-0.00030136108,A,X,0.1
79,0.0035854876,0.00043869019,A,X,0.1
80,0.0012926161,0.00069999695,A,X,0.1
81,0.0069601238,-0.0023765564,A,X,0.1
82,-0.0018803775,-0.00077438354,A,X,0.1
83,-0.0028741062,-0.00078773499,A,X,0.1
84,-0.0054404438,-0.00046920776,A,X,0.1
85,0.002877146,-0.0010108948,A,X,0.1
86,-0.0040145814,-0.0004119873,A,X,0.1
87,0.0016412437,-0.0016174316,A,X,0.1
88,-0.0046572983,-0.00025558472,A,X,0.1
89,0.015762597,0.00014686584,A,X,0.1
90,0.0030411184,-0.0017986298,A,X,0.1
91,0.0074237883,0.00019264221,A,X,0.1
92,-0.003715843,-0.0016326904,A,X,0.1
93,0.001337558,-0.0012798309,A,X,0.1
94,-0.0041885078,0.0003528595,A,X,0.1
95,0.012012213,-0.00085067749,A,X,0.1
96,-0.0051015317,-0.00062942505,A,X,0.1
97,0.005269438,-0.0001449585,A,X,0.1
98,-0.010335416,-0.0013179779,A,X,0.1
99,-0.00085094571,-0.00056266785,A,X,0.1
100,-0.0021775663,0.00032997131,A,X,0.1
101,0.0026261508,-0.00043106079,A,X,0.1
102,-0.0059784949,-0.00049209595,A,X,0.1
103,0.011255115,-0.00035476685,A,X,0.1
104,-0.005948931,-0.0014190674,A,X,0.1
105,0.0016967356,0.0011310577,A,X,0.1
106,-0.0043168366,-0.00033569336,A,X,0.1
107,0.0023591816,-0.0020103455,A,X,0.1
108,0.0034845769,0.00025939941,A,X,0.1
109,0.0061923563,-0.00028991699,A,X,0.1
110,-0.0085819066,-0.00051116943,A,X,0.1
